Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Filter_angle
1,0.17826529,0.5802595,9.782457,-0.0019852535,-0.0029015245,0.00045813544,0.10623100614006034
11,0.17826529,0.5802595,9.782457,-0.0019852535,-0.0029015245,0.00045813544,0.10623100614006034
21,0.1788635,0.55513483,9.68136,-0.0019852535,-0.00167983,-0.0007635591000000001,0.10885328805454243
31,0.1788635,0.55513483,9.68136,0.00045813544,-0.0029015245,-0.0019852535,0.10900883902562127
41,0.16869399,0.6089734,9.834501,-0.003206948,-0.00167983,-0.0007635591000000001,0.0993490095963693
51,0.17826529,0.56111693,9.792028,-0.0007635591000000001,0.0006108472599999999,-0.0009162708999999999,0.106125806624981
61,0.1591227,0.5946164,9.801002,-0.0056503373,-0.0029015245,-0.0007635591000000001,0.09420254765451948
71,0.1591227,0.5706882,9.839885,-0.0019852535,-0.0029015245,-0.0007635591000000001,0.09371965476070532
81,0.15972091,0.57487565,9.743574,-0.003206948,-0.0029015245,-0.0007635591000000001,0.09585488037162956
91,0.16450655,0.58983076,9.767502,-0.0019852535,-0.0029015245,-0.0019852535,0.09831043257618628
101,0.1692922,0.5844469,9.781858999999999,-0.0019852535,-0.0029015245,-0.0019852535,0.10088463060722623
112,0.18305093,0.5796613,9.786645,-0.0019852535,-0.004123219,0.00045813544,0.108993892703308
121,0.18305093,0.56530434,9.777073,-0.003206948,-0.004123219,-0.0007635591000000001,0.10914787419094844
131,0.1788635,0.58923256,9.777073,-0.0019852535,-0.004123219,0.00045813544,0.10669337596187345
142,0.17826529,0.57009,9.796216000000001,-0.0019852535,-0.004123219,-0.0007635591000000001,0.10594638318274748
151,0.17826529,0.5605187,9.781858999999999,-0.0019852535,-0.0029015245,-0.0007635591000000001,0.1062689177108632
161,0.18364914,0.56530434,9.772287,-0.003206948,-0.005344913299999999,-0.0007635591000000001,0.10961236392536876
171,0.1788635,0.5844469,9.781858999999999,-0.003206948,-0.006566608000000001,-0.0007635591000000001,0.10651771810624917
181,0.19262223,0.5605187,9.766903999999998,-0.0019852535,-0.006566608000000001,-0.0019852535,0.11518882297389933
191,0.18305093,0.5796613,9.786645,-0.0044286429999999995,-0.004123219,-0.0007635591000000001,0.10883834169657848
202,0.1692922,0.57009,9.766903999999998,-0.0019852535,-0.0029015245,-0.0007635591000000001,0.10121064230665727
211,0.18783657,0.5844469,9.786645,-0.0007635591000000001,-0.0018325417999999999,0.00045813544,0.11191798585977505
221,0.17407785,0.5844469,9.777073,-0.0007635591000000001,-0.0029015245,0.00045813544,0.10391918820792298
231,0.1692922,0.57009,9.772287,-0.0007635591000000001,-0.0006108472599999999,-0.0007635591000000001,0.10117718565019386
241,0.18305093,0.5796613,9.786645,-0.0019852535,-0.0006108472599999999,-0.0007635591000000001,0.108993892703308
251,0.18364914,0.57487565,9.772287,-0.0007635591000000001,-0.0018325417999999999,-0.0007635591000000001,0.10975540888699412
262,0.16450655,0.56530434,9.766903999999998,-0.0007635591000000001,-0.0018325417999999999,-0.0007635591000000001,0.09842936001140945
271,0.1788635,0.57009,9.777073,-0.0007635591000000001,-0.0006108472599999999,-0.0019852535,0.10679586658556477
282,0.18783657,0.57487565,9.781858999999999,-0.0007635591000000001,-0.0029015245,0.00045813544,0.11204013922778305
291,0.1788635,0.57009,9.777073,-0.0007635591000000001,-0.0018325417999999999,-0.0007635591000000001,0.10679586658556477
301,0.18305093,0.5796613,9.786645,-0.0007635591000000001,-0.0006108472599999999,0.00167983,0.10907166818439108
312,0.17826529,0.57487565,9.772287,-0.0007635591000000001,-0.0018325417999999999,0.00045813544,0.10653640671291516
322,0.18783657,0.57009,9.787243,0.00045813544,-0.0006108472599999999,-0.0007635591000000001,0.11200143495327711
331,0.18783657,0.57487565,9.786645,0.00045813544,-0.0006108472599999999,0.00045813544,0.1120086883183611
342,0.18305093,0.5796613,9.79143,0.00045813544,0.0018325417999999999,-0.0009162708999999999,0.10904318982627048
352,0.19262223,0.56530434,9.787243,0.0018325417999999999,0.0006108472599999999,0.00045813544,0.11494822206412059
361,0.1692922,0.57009,9.781858999999999,-0.0007635591000000001,-0.0006108472599999999,0.00045813544,0.1009798450615342
